idx,prompt,ground_truth,model_response_raw,model_parsed_json,json_valid,per_key_scores,keys_matched
15,太空探索科普，富有想象力。,"{""mode"": ""dorian"", ""tempo"": ""90bpm"", ""instruments"": ""ambient synth pads, arpeggiated synth, subtle electronic beat"", ""genre"": ""ambient electronic"", ""feel"": ""wonder, curious, futuristic, vast""}","{'key': 'A minor', 'mode': 'dorian', 'tempo': '90bpm', 'instruments': 'ambient synth pads, arpeggiated synth, subtle electronic beat', 'genre': 'ambient electronic', 'feel': 'wonder, curious, futuristic, vast'}","{""key"": ""A minor"", ""mode"": ""dorian"", ""tempo"": ""90bpm"", ""instruments"": ""ambient synth pads, arpeggiated synth, subtle electronic beat"", ""genre"": ""ambient electronic"", ""feel"": ""wonder, curious, futuristic, vast""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
16,情感故事播客，讲述感人的重逢。,"{""key"": ""E-flat Major"", ""mode"": ""major"", ""tempo"": ""70bpm"", ""instruments"": ""solo piano, high strings crescendo, cello"", ""genre"": ""cinematic"", ""feel"": ""touching, emotional, heartwarming, hopeful""}","{'key': 'E-flat Major', 'mode': 'major', 'tempo': '70bpm', 'instruments': 'solo piano, high strings crescendo, cello', 'genre': 'cinematic', 'feel': 'touching, emotional, heartwarming, hopeful'}","{""key"": ""E-flat Major"", ""mode"": ""major"", ""tempo"": ""70bpm"", ""instruments"": ""solo piano, high strings crescendo, cello"", ""genre"": ""cinematic"", ""feel"": ""touching, emotional, heartwarming, hopeful""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
17,一段音乐，从平缓寂寥开始，然后在28秒后转为紧张。,"{""mode"": ""minor"", ""tempo"": ""60bpm then 120bpm"", ""instruments"": ""ambient pad -> pizzicato strings, low synth pulse"", ""genre"": ""ambient -> suspense"", ""feel"": ""calm, lonely, then tense""}","{'key': 'E minor', 'mode': 'minor', 'tempo': '60bpm', 'instruments': 'ambient pad, sparse percussion', 'genre': 'ambient suspense', 'feel': 'calm lonely, then tense'}","{""key"": ""E minor"", ""mode"": ""minor"", ""tempo"": ""60bpm"", ""instruments"": ""ambient pad, sparse percussion"", ""genre"": ""ambient suspense"", ""feel"": ""calm lonely, then tense""}",1,"{'mode': 1.0, 'tempo': 0.36969696969696964, 'instruments': 0.2818713450292397, 'genre': 1.0, 'feel': 0.9936170212765957}",0
18,从悲伤转为坚定，情绪有转折。,"{""mode"": ""minor"", ""tempo"": ""100bpm"", ""instruments"": ""piano, full string section, subtle timpani roll"", ""genre"": ""cinematic"", ""feel"": ""transitioning, resolving, determined""}","{'key': 'C minor', 'mode': 'minor', 'tempo': '100bpm', 'instruments': 'piano, full string section, subtle timpani roll', 'genre': 'cinematic', 'feel': 'transitioning, resolving, determined'}","{""key"": ""C minor"", ""mode"": ""minor"", ""tempo"": ""100bpm"", ""instruments"": ""piano, full string section, subtle timpani roll"", ""genre"": ""cinematic"", ""feel"": ""transitioning, resolving, determined""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
19,80年代复古流行，但不要有真实鼓声（不要鼓）。,"{""genre"": ""synthwave"", ""instruments"": [""analog synth lead, synth bass, reverb guitar"", ""NOT drums""], ""tempo"": ""120bpm"", ""feel"": ""retro, 80s, nostalgic, cool""}","{'key': 'E minor', 'mode': 'minor', 'tempo': '120bpm', 'instruments': 'synth bass, drum machine (fake), clean electric guitar, synth lead', 'genre': 'synthwave', 'feel': 'retro, 80s, nostalgic, cool'}","{""key"": ""E minor"", ""mode"": ""minor"", ""tempo"": ""120bpm"", ""instruments"": ""synth bass, drum machine (fake), clean electric guitar, synth lead"", ""genre"": ""synthwave"", ""feel"": ""retro, 80s, nostalgic, cool""}",1,"{'genre': 1.0, 'instruments': 1.0, 'tempo': 1.0, 'feel': 1.0}",1
20,中世纪幻想风格，像在酒馆里。,"{""mode"": ""dorian"", ""tempo"": ""110bpm"", ""instruments"": ""lute, acoustic guitar, fiddle, hand drum"", ""genre"": ""fantasy folk"", ""feel"": ""medieval, tavern, cheerful, rustic""}","{'key': 'D minor', 'mode': 'dorian', 'tempo': '110bpm', 'instruments': 'lute, acoustic guitar, fiddle, hand drum', 'genre': 'fantasy folk', 'feel': 'medieval, tavern, cheerful, rustic'}","{""key"": ""D minor"", ""mode"": ""dorian"", ""tempo"": ""110bpm"", ""instruments"": ""lute, acoustic guitar, fiddle, hand drum"", ""genre"": ""fantasy folk"", ""feel"": ""medieval, tavern, cheerful, rustic""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
21,一个宁静的睡前冥想段，大约20秒，无鼓。,"{""mode"": ""lydian"", ""tempo"": ""50bpm"", ""instruments"": ""ambient synth pad, crystal bowls, no beat"", ""genre"": ""meditation"", ""feel"": ""minimalist, peaceful, ethereal, healing""}","{'key': 'F Major', 'mode': 'lydian', 'tempo': '55bpm', 'instruments': 'ambient synth pad, crystal bowls, no beat', 'genre': 'meditation', 'feel': 'calm, peaceful, serene', 'duration_sec': 20}","{""key"": ""F Major"", ""mode"": ""lydian"", ""tempo"": ""55bpm"", ""instruments"": ""ambient synth pad, crystal bowls, no beat"", ""genre"": ""meditation"", ""feel"": ""calm, peaceful, serene"", ""duration_sec"": 20}",1,"{'mode': 1.0, 'tempo': 0.24, 'instruments': 1.0, 'genre': 1.0, 'feel': 0.2937158469945355}",0
22,儿童故事播客， whimsical and magical。,"{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""110bpm"", ""instruments"": ""glockenspiel, pizzicato strings, flute, light percussion"", ""genre"": ""childrens"", ""feel"": ""magical, happy, whimsical, innocent""}","{'key': 'C Major', 'mode': 'major', 'tempo': '110bpm', 'instruments': 'glockenspiel, pizzicato strings, flute, light percussion', 'genre': 'childrens', 'feel': 'whimsical, magical, happy, innocent'}","{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""110bpm"", ""instruments"": ""glockenspiel, pizzicato strings, flute, light percussion"", ""genre"": ""childrens"", ""feel"": ""whimsical, magical, happy, innocent""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 0.9057142857142857}",1
23,自由奔放的公路驾驶BGM，需要 open-road 的感觉。,"{""key"": ""E Major"", ""mode"": ""major"", ""tempo"": ""120bpm"", ""instruments"": ""acoustic guitar, driving drum beat, bass guitar, harmonica"", ""genre"": ""folk rock"", ""feel"": ""free, driving, adventurous, open road""}","{'key': 'E Major', 'mode': 'major', 'tempo': '120bpm', 'instruments': 'acoustic guitar, driving drum beat, bass guitar, harmonica', 'genre': 'folk rock', 'feel': 'free, driving, adventurous, open road'}","{""key"": ""E Major"", ""mode"": ""major"", ""tempo"": ""120bpm"", ""instruments"": ""acoustic guitar, driving drum beat, bass guitar, harmonica"", ""genre"": ""folk rock"", ""feel"": ""free, driving, adventurous, open road""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
24,史诗性的开场，宏大而带忧郁。,"{""key"": ""D minor"", ""mode"": ""minor"", ""tempo"": ""140bpm"", ""instruments"": ""full orchestra, choir, timpani, brass fanfare"", ""genre"": ""epic orchestral"", ""feel"": ""grand, heroic, melancholic""}","{'key': 'D Major', 'mode': 'major', 'tempo': '140bpm', 'instruments': 'full orchestra, epic choir, gentle piano', 'genre': 'epic orchestral', 'feel': 'grand, melancholic, heroic'}","{""key"": ""D Major"", ""mode"": ""major"", ""tempo"": ""140bpm"", ""instruments"": ""full orchestra, epic choir, gentle piano"", ""genre"": ""epic orchestral"", ""feel"": ""grand, melancholic, heroic""}",1,"{'key': 0.4476190476190476, 'mode': 0.0, 'tempo': 1.0, 'instruments': 0.42392156862745095, 'genre': 1.0, 'feel': 0.9076923076923076}",0
25,赛博朋克城市夜景，需要冷峻但有律动。,"{""key"": ""F# minor"", ""mode"": ""minor"", ""tempo"": ""140bpm"", ""instruments"": ""heavy synth bass, driving electronic drums, neon synth lead"", ""genre"": ""synthwave"", ""feel"": ""cyberpunk, futuristic, dark, energetic""}","{'key': 'F# minor', 'mode': 'minor', 'tempo': '140bpm', 'instruments': 'heavy synth bass, driving electronic drums, neon synth lead', 'genre': 'synthwave', 'feel': 'cyberpunk, futuristic, dark, energetic'}","{""key"": ""F# minor"", ""mode"": ""minor"", ""tempo"": ""140bpm"", ""instruments"": ""heavy synth bass, driving electronic drums, neon synth lead"", ""genre"": ""synthwave"", ""feel"": ""cyberpunk, futuristic, dark, energetic""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
26,8-bit 游戏风格，欢快。,"{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""130bpm"", ""instruments"": ""chiptune synth lead, 8-bit drums, square wave bass"", ""genre"": ""chiptune"", ""feel"": ""retro, happy, video game, nostalgic""}","{'key': 'F Major', 'mode': 'major', 'tempo': '120bpm', 'instruments': 'pizzicato strings, xylophone, clarinet', 'genre': '8-bit', 'feel': 'chuckles, happy, upbeat'}","{""key"": ""F Major"", ""mode"": ""major"", ""tempo"": ""120bpm"", ""instruments"": ""pizzicato strings, xylophone, clarinet"", ""genre"": ""8-bit"", ""feel"": ""chuckles, happy, upbeat""}",1,"{'key': 0.4904761904761904, 'mode': 1.0, 'tempo': 0.25, 'instruments': 0.075, 'genre': 0.09230769230769231, 'feel': 0.23448275862068962}",0
27,我要一段背景音乐，但不希望有任何人声或人声采样（必须无声）。,"{""instruments"": ""NOT vocals"", ""genre"": ""ambient"", ""feel"": ""instrumental, background""}","{'key': 'C Major', 'mode': 'major', 'tempo': '100bpm', 'instruments': 'synth pad, white noise, reverse cymbals', 'genre': 'ambient', 'feel': 'background, calm, minimal'}","{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""100bpm"", ""instruments"": ""synth pad, white noise, reverse cymbals"", ""genre"": ""ambient"", ""feel"": ""background, calm, minimal""}",1,"{'instruments': 1.0, 'genre': 1.0, 'feel': 0.2974489795918367}",0
28,一个很酷的侦探主题，爵士风。,"{""key"": ""A minor"", ""mode"": ""minor"", ""tempo"": ""95bpm"", ""instruments"": ""walking bassline, ride cymbal, moody saxophone, jazz piano"", ""genre"": ""jazz noir"", ""feel"": ""cool, mysterious, detective, smoky""}","{'key': 'B-flat Major', 'mode': 'major', 'tempo': '95bpm', 'instruments': 'jazz piano trio (piano, upright bass, brushed drums)', 'genre': 'jazz noir', 'feel': 'cool, mysterious, detective, smoky'}","{""key"": ""B-flat Major"", ""mode"": ""major"", ""tempo"": ""95bpm"", ""instruments"": ""jazz piano trio (piano, upright bass, brushed drums)"", ""genre"": ""jazz noir"", ""feel"": ""cool, mysterious, detective, smoky""}",1,"{'key': 0.15789473684210525, 'mode': 0.0, 'tempo': 1.0, 'instruments': 0.23774733637747333, 'genre': 1.0, 'feel': 1.0}",0
29,我需要一段2分03秒的可循环背景音乐，气氛安静但略带忧郁。,"{""tempo"": ""~60bpm"", ""instruments"": ""solo piano, ambient pad, distant strings"", ""genre"": ""cinematic"", ""feel"": ""quiet, melancholic, loopable""}","{'key': 'F minor', 'mode': 'minor', 'tempo': '60bpm', 'instruments': 'solo piano, soft string pad', 'genre': 'ambient', 'feel': 'calm, melancholic, introspective', 'duration_sec': 120}","{""key"": ""F minor"", ""mode"": ""minor"", ""tempo"": ""60bpm"", ""instruments"": ""solo piano, soft string pad"", ""genre"": ""ambient"", ""feel"": ""calm, melancholic, introspective"", ""duration_sec"": 120}",1,"{'tempo': 1.0, 'instruments': 0.45055970149253727, 'genre': 0.11249999999999999, 'feel': 0.31999999999999995}",0
30,片段需要短促、轻快、适合 5 秒的转场 B-roll，感觉俏皮。,"{""tempo"": ""130bpm"", ""instruments"": ""xylophone, pizzicato strings, light percussion"", ""genre"": ""comedy"", ""feel"": ""playful, quirky, fun""}","{'key': 'G Major', 'mode': 'major', 'tempo': '130bpm', 'instruments': 'pizzicato strings, xylophone, clarinet', 'genre': 'comedy', 'feel': 'playful, quirky, fun, light', 'duration_sec': 5}","{""key"": ""G Major"", ""mode"": ""major"", ""tempo"": ""130bpm"", ""instruments"": ""pizzicato strings, xylophone, clarinet"", ""genre"": ""comedy"", ""feel"": ""playful, quirky, fun, light"", ""duration_sec"": 5}",1,"{'tempo': 1.0, 'instruments': 0.5142857142857142, 'genre': 1.0, 'feel': 0.78031914893617}",1
